"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
2021,"Camden 015","E02000180",6698,2699,1629,1561,68,4,1066,954,112,3999,3155,138,119,400,187
2021,"Camden 016","E02000181",6832,3580,2294,2218,76,10,1276,1174,102,3252,2517,128,82,378,147
2021,"Camden 017","E02000182",5758,2766,2160,2120,40,8,598,550,48,2992,2112,202,113,340,225
2021,"Camden 018","E02000183",6423,2966,2084,2052,32,12,870,798,72,3457,2432,137,134,536,218
2021,"Camden 019","E02000184",7052,2384,1600,1528,72,2,782,696,86,4668,3733,157,143,425,210
2021,"Camden 020","E02000185",7262,2697,1882,1850,32,20,795,724,71,4565,3219,192,231,619,304
2021,"Camden 021","E02000186",5269,2033,1280,1217,63,7,746,682,64,3236,2512,141,94,326,163
2021,"Camden 022","E02000187",7442,2588,1846,1814,32,12,730,660,70,4854,3748,195,198,454,259
2021,"Camden 023","E02000188",5581,1922,1392,1358,34,10,520,460,60,3659,2819,175,136,304,225
2021,"Camden 026","E02000191",3484,1204,734,654,80,2,468,400,68,2280,1821,95,62,196,106
2021,"Camden 027","E02000192",5647,2123,1402,1333,69,3,718,586,132,3524,2674,167,118,380,185
2021,"Camden 028","E02000193",5055,1692,1047,929,118,5,640,542,98,3363,2610,179,87,328,159
2021,"Camden 029","E02007115",8049,2592,1724,1662,62,14,854,724,130,5457,4134,263,179,589,292
2021,"Croydon 001","E02000194",7326,3691,2228,2150,78,17,1446,1328,118,3635,2594,127,165,517,232
2021,"Croydon 002","E02000195",7703,4108,3355,3325,30,7,746,706,40,3595,2401,252,144,429,369
2021,"Croydon 003","E02000196",6393,2934,2346,2326,20,12,576,544,32,3459,2336,257,126,402,338
2021,"Croydon 004","E02000197",7295,3422,2687,2659,28,11,724,678,46,3873,2589,264,193,485,342
2021,"Croydon 005","E02000198",6968,2861,2090,2070,20,18,753,704,49,4107,2840,207,213,606,241
