"date","geography","geography code","Second address indicator: Total: All usual residents","Second address indicator: No second address","Second address indicator: Second address is in the UK","Second address indicator: Second address is outside the UK"
2021,"Hackney 025","E02000369",13458,12644,437,377
2021,"Hackney 026","E02000370",8862,8157,342,363
2021,"Hammersmith and Fulham 001","E02000372",9984,9102,413,469
2021,"Hammersmith and Fulham 002","E02000373",7034,6711,169,154
2021,"Hammersmith and Fulham 003","E02000374",6914,6293,382,239
2021,"Hammersmith and Fulham 004","E02000375",7485,6808,381,296
2021,"Hammersmith and Fulham 005","E02000376",6698,6178,307,213
2021,"Hammersmith and Fulham 006","E02000377",7795,7067,465,263
2021,"Hammersmith and Fulham 007","E02000378",6434,5712,361,361
2021,"Hammersmith and Fulham 008","E02000379",7388,6754,361,273
2021,"Hammersmith and Fulham 009","E02000380",5509,4923,375,211
2021,"Hammersmith and Fulham 010","E02000381",7628,6604,558,466
2021,"Hammersmith and Fulham 011","E02000382",6190,5406,471,313
2021,"Hammersmith and Fulham 012","E02000383",8462,7266,591,605
2021,"Hammersmith and Fulham 013","E02000384",8267,7404,463,400
2021,"Hammersmith and Fulham 014","E02000385",5614,4696,565,353
2021,"Hammersmith and Fulham 015","E02000386",7584,6886,416,282
2021,"Hammersmith and Fulham 016","E02000387",6025,5263,501,261
2021,"Hammersmith and Fulham 017","E02000388",8657,7576,552,529
2021,"Hammersmith and Fulham 018","E02000389",8645,7436,737,472
2021,"Hammersmith and Fulham 019","E02000390",6194,5481,460,253
2021,"Hammersmith and Fulham 020","E02000391",7587,6527,560,500
2021,"Hammersmith and Fulham 021","E02000392",9229,8115,642,472
2021,"Hammersmith and Fulham 022","E02000393",5974,5257,401,316
2021,"Hammersmith and Fulham 023","E02000394",9281,8206,563,512
2021,"Hammersmith and Fulham 024","E02000395",5680,4768,568,344
2021,"Hammersmith and Fulham 025","E02000396",6898,6127,395,376
2021,"Haringey 001","E02000397",7907,7522,183,202
2021,"Haringey 002","E02000398",7518,7219,159,140
2021,"Haringey 004","E02000400",7988,7603,223,162
2021,"Haringey 005","E02000401",6864,6657,112,95
2021,"Haringey 006","E02000402",6472,6248,98,126
2021,"Haringey 007","E02000403",7512,7129,186,197
2021,"Haringey 008","E02000404",7112,6828,127,157
2021,"Haringey 009","E02000405",6474,6074,254,146
2021,"Haringey 010","E02000406",6735,6434,153,148
2021,"Haringey 011","E02000407",7606,7312,149,145
2021,"Haringey 012","E02000408",8252,7914,126,212
2021,"Haringey 013","E02000409",6060,5782,150,128
2021,"Haringey 014","E02000410",6417,5839,380,198
2021,"Haringey 015","E02000411",11428,10351,699,378
2021,"Haringey 016","E02000412",7323,6836,323,164
2021,"Haringey 017","E02000413",7764,7228,345,191
2021,"Haringey 018","E02000414",7081,6769,175,137
2021,"Haringey 019","E02000415",7242,6819,212,211
2021,"Haringey 020","E02000416",8453,8062,247,144
2021,"Haringey 021","E02000417",6556,5962,355,239
2021,"Haringey 022","E02000418",5431,5037,291,103
2021,"Haringey 023","E02000419",8735,8188,325,222
2021,"Haringey 024","E02000420",7988,7584,210,194
