"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
2021,"Lewisham 014","E02000666",7188,5783,5039,646,399,106,95,46,98,98,462,375,490,75,3
2021,"Lewisham 015","E02000667",6688,5563,4869,618,343,111,94,70,76,76,265,263,489,106,2
2021,"Lewisham 016","E02000668",6854,5635,4858,665,378,149,111,27,112,112,369,461,353,35,1
2021,"Lewisham 017","E02000669",7972,6135,4955,1035,483,248,273,31,145,145,521,567,687,56,6
2021,"Lewisham 018","E02000670",6707,4759,3848,768,388,152,202,26,143,143,789,359,758,42,0
2021,"Lewisham 019","E02000671",8741,7257,6336,809,494,159,111,45,112,112,481,353,525,124,1
2021,"Lewisham 020","E02000672",10275,7706,6120,1415,734,237,380,64,171,171,956,671,857,79,6
2021,"Lewisham 021","E02000673",8141,6775,5906,781,496,169,68,48,88,88,479,316,478,90,3
2021,"Lewisham 022","E02000674",8455,6576,5591,909,573,160,138,38,76,76,533,453,846,42,5
2021,"Lewisham 023","E02000675",8526,6927,5909,839,412,196,156,75,179,179,539,589,425,42,4
2021,"Lewisham 024","E02000676",7815,6534,5701,752,449,154,123,26,81,81,436,299,460,79,7
2021,"Lewisham 025","E02000677",7210,5539,4686,750,348,131,125,146,103,103,566,462,618,23,2
2021,"Lewisham 026","E02000678",6966,5302,4520,664,305,191,125,43,118,118,803,366,486,8,1
2021,"Lewisham 027","E02000679",8133,6623,5731,762,473,147,107,35,130,130,580,371,469,81,9
2021,"Lewisham 028","E02000680",7036,5533,4691,683,410,160,90,23,159,159,598,415,440,44,6
2021,"Lewisham 029","E02000681",8473,6555,5701,698,333,154,167,44,156,156,742,517,616,37,6
2021,"Lewisham 030","E02000682",8931,6659,5670,810,352,188,177,93,179,179,871,737,636,13,15
2021,"Lewisham 031","E02000683",6767,5357,4489,734,274,219,186,55,134,134,620,350,416,19,5
2021,"Lewisham 033","E02000685",8131,6535,5601,779,466,143,120,50,155,155,564,376,611,39,6
2021,"Lewisham 034","E02000686",7538,5602,4780,658,294,200,147,17,164,164,852,375,693,13,3
2021,"Lewisham 035","E02000687",8267,6731,5813,793,458,197,113,25,125,125,630,355,489,56,6
2021,"Lewisham 037","E02006783",7771,6152,5232,770,291,216,227,36,150,150,653,523,426,17,0
2021,"Lewisham 038","E02006784",7968,6313,5288,861,306,198,296,61,164,164,606,519,518,11,1
2021,"Lewisham 039","E02006798",8885,6093,4855,1072,684,252,97,39,166,166,1132,870,743,47,0
2021,"Lewisham 040","E02007008",5765,3997,2688,1123,663,274,170,16,186,186,460,883,387,36,2
2021,"Lewisham 041","E02007009",9141,6715,5306,1191,616,278,261,36,218,218,759,818,790,43,16
2021,"Merton 001","E02000689",9054,7307,5923,1193,809,227,129,28,191,191,509,689,374,171,4
2021,"Merton 002","E02000690",5524,4278,3529,592,464,77,38,13,157,157,269,605,291,75,6
2021,"Merton 003","E02000691",7355,5703,4499,991,633,225,116,17,213,213,460,722,317,152,1
