"date","geography","geography code","General health: Total: All usual residents","General health: Very good health","General health: Good health","General health: Fair health","General health: Bad health","General health: Very bad health"
2021,"Haringey 031","E02000427",6623,3526,2164,691,176,66
2021,"Haringey 032","E02000428",8434,4414,2703,868,334,115
2021,"Haringey 033","E02000429",6793,4061,1913,597,167,55
2021,"Haringey 034","E02000430",6922,4076,2087,569,145,45
2021,"Haringey 035","E02000431",5848,3559,1741,395,105,48
2021,"Haringey 036","E02000432",6119,3426,1840,548,215,90
2021,"Harrow 001","E02000433",8600,4264,2862,1030,330,114
2021,"Harrow 002","E02000434",9848,5144,3266,1021,294,123
2021,"Harrow 003","E02000435",8191,4173,2648,990,277,103
2021,"Harrow 004","E02000436",5758,2958,1979,649,130,42
2021,"Harrow 005","E02000437",8760,4176,3097,1033,341,113
2021,"Harrow 006","E02000438",8546,4364,2774,1012,307,89
2021,"Harrow 007","E02000439",9266,4901,3065,916,283,101
2021,"Harrow 008","E02000440",9605,5004,3375,918,227,81
2021,"Harrow 009","E02000441",7481,3928,2447,824,207,75
2021,"Harrow 010","E02000442",9585,4996,3265,990,254,80
2021,"Harrow 011","E02000443",10747,5566,3359,1277,425,120
2021,"Harrow 012","E02000444",8715,4465,3046,907,236,61
2021,"Harrow 013","E02000445",11773,5969,3979,1293,414,118
2021,"Harrow 015","E02000447",8193,4385,2733,803,200,72
2021,"Harrow 016","E02000448",7070,3799,2369,678,175,49
2021,"Harrow 017","E02000449",8296,4138,2874,941,263,80
2021,"Harrow 019","E02000451",6708,3420,2425,683,138,42
2021,"Harrow 020","E02000452",9502,4936,3309,890,288,79
2021,"Harrow 021","E02000453",8386,4376,2829,868,232,81
