"date","geography","geography code","Sexual orientation: Total: All usual residents aged 16 years and over","Sexual orientation: Straight or Heterosexual","Sexual orientation: Gay or Lesbian","Sexual orientation: Bisexual","Sexual orientation: All other sexual orientations","Sexual orientation: Not answered"
2021,"Harrow 017","E02000449",6810,5776,20,47,49,918
2021,"Harrow 019","E02000451",5478,4841,48,26,8,555
2021,"Harrow 020","E02000452",7529,6458,76,126,48,821
2021,"Harrow 021","E02000453",6694,5819,40,64,13,758
2021,"Harrow 022","E02000454",5731,5146,25,48,8,504
2021,"Harrow 023","E02000455",9518,8174,122,144,80,998
2021,"Harrow 024","E02000456",6403,5547,39,69,37,711
2021,"Harrow 025","E02000457",5778,5077,42,49,28,582
2021,"Harrow 027","E02000459",7343,6453,126,58,27,679
2021,"Harrow 028","E02000460",5673,5013,36,59,27,538
2021,"Harrow 029","E02000461",5814,5071,75,70,28,570
2021,"Harrow 030","E02000462",5647,4910,28,51,29,629
