"date","geography","geography code","Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census","Hours worked: Part-time","Hours worked: Part-time: 15 hours or less worked","Hours worked: Part-time: 16 to 30 hours worked","Hours worked: Full-time","Hours worked: Full-time: 31 to 48 hours worked","Hours worked: Full-time: 49 or more hours worked"
2021,"Ealing 018","E02000255",4586,1329,533,796,3257,2636,621
2021,"Ealing 019","E02000256",5197,1232,511,721,3965,3162,803
2021,"Ealing 021","E02000258",3387,984,406,578,2403,1909,494
2021,"Ealing 022","E02000259",3312,960,370,590,2352,1935,417
2021,"Ealing 023","E02000260",3812,1297,449,848,2515,2261,254
2021,"Ealing 024","E02000261",6509,1806,738,1068,4703,3878,825
2021,"Ealing 025","E02000262",4887,1399,563,836,3488,2811,677
2021,"Ealing 026","E02000263",5527,1796,598,1198,3731,3420,311
2021,"Ealing 027","E02000264",4660,1230,549,681,3430,2677,753
2021,"Ealing 028","E02000265",5534,1561,605,956,3973,3286,687
2021,"Ealing 029","E02000266",5464,1721,623,1098,3743,3328,415
2021,"Ealing 030","E02000267",4188,1208,460,748,2980,2443,537
2021,"Ealing 031","E02000268",4872,1308,573,735,3564,2811,753
2021,"Ealing 032","E02000269",4430,1044,404,640,3386,2644,742
2021,"Ealing 033","E02000270",5059,1246,465,781,3813,3112,701
2021,"Ealing 034","E02000271",3729,869,388,481,2860,2086,774
2021,"Ealing 035","E02000272",3346,943,381,562,2403,1914,489
2021,"Ealing 038","E02000275",3391,1139,396,743,2252,1985,267
2021,"Ealing 039","E02000276",3663,879,340,539,2784,2224,560
2021,"Enfield 001","E02000277",3088,1133,364,769,1955,1718,237
2021,"Enfield 002","E02000278",3528,1399,459,940,2129,1869,260
2021,"Enfield 003","E02000279",5129,1858,599,1259,3271,2904,367
2021,"Enfield 004","E02000280",3964,1253,442,811,2711,2281,430
2021,"Enfield 005","E02000281",4242,1406,457,949,2836,2458,378
2021,"Enfield 006","E02000282",3473,1467,450,1017,2006,1769,237
2021,"Enfield 007","E02000283",3490,1305,447,858,2185,1937,248
2021,"Enfield 008","E02000284",4235,1248,465,783,2987,2490,497
2021,"Enfield 009","E02000285",3227,942,334,608,2285,1948,337
2021,"Enfield 010","E02000286",4192,1196,434,762,2996,2487,509
2021,"Enfield 011","E02000287",3424,1111,477,634,2313,1742,571
2021,"Enfield 012","E02000288",4897,2016,672,1344,2881,2534,347
2021,"Enfield 013","E02000289",3201,1017,395,622,2184,1815,369
2021,"Enfield 014","E02000290",2536,1021,338,683,1515,1338,177
2021,"Enfield 015","E02000291",4612,1452,527,925,3160,2716,444
2021,"Enfield 016","E02000292",4475,1464,520,944,3011,2603,408
2021,"Enfield 017","E02000293",2917,912,374,538,2005,1522,483
2021,"Enfield 018","E02000294",3671,1485,470,1015,2186,1963,223
2021,"Enfield 019","E02000295",3973,1249,509,740,2724,2223,501
2021,"Enfield 020","E02000296",4778,1601,603,998,3177,2712,465
2021,"Enfield 021","E02000297",4504,1421,521,900,3083,2598,485
2021,"Enfield 022","E02000298",4159,1209,517,692,2950,2293,657
2021,"Enfield 023","E02000299",3692,1631,539,1092,2061,1802,259
2021,"Enfield 024","E02000300",3605,1395,465,930,2210,1889,321
2021,"Enfield 025","E02000301",3971,1678,554,1124,2293,2002,291
2021,"Enfield 026","E02000302",4024,1294,482,812,2730,2338,392
2021,"Enfield 027","E02000303",3215,1360,419,941,1855,1615,240
2021,"Enfield 028","E02000304",3871,1245,525,720,2626,2082,544
2021,"Enfield 029","E02000305",4683,1450,569,881,3233,2663,570
2021,"Enfield 030","E02000306",3290,1378,422,956,1912,1695,217
2021,"Enfield 031","E02000307",4463,1742,552,1190,2721,2400,321
2021,"Enfield 032","E02000308",4355,1400,514,886,2955,2487,468
2021,"Enfield 033","E02000309",4726,1999,695,1304,2727,2417,310
2021,"Enfield 035","E02000311",4733,1780,639,1141,2953,2569,384
2021,"Enfield 036","E02000312",5902,1831,747,1084,4071,3410,661
2021,"Greenwich 001","E02000313",2803,877,281,596,1926,1653,273
2021,"Greenwich 002","E02000314",6052,1880,706,1174,4172,3553,619
2021,"Greenwich 003","E02000315",4178,1365,438,927,2813,2432,381
2021,"Greenwich 005","E02000317",3274,1039,355,684,2235,1912,323
2021,"Greenwich 006","E02000318",4971,1561,507,1054,3410,2986,424
2021,"Greenwich 007","E02000319",5119,1526,504,1022,3593,3092,501
2021,"Greenwich 008","E02000320",3283,899,306,593,2384,2033,351
2021,"Greenwich 009","E02000321",3461,1043,355,688,2418,2094,324
2021,"Greenwich 011","E02000323",6128,1883,667,1216,4245,3689,556
2021,"Greenwich 012","E02000324",3498,1092,374,718,2406,2001,405
2021,"Greenwich 014","E02000326",4342,1134,424,710,3208,2685,523
2021,"Greenwich 015","E02000327",3041,805,293,512,2236,1828,408
2021,"Greenwich 016","E02000328",3483,793,318,475,2690,2036,654
2021,"Greenwich 017","E02000329",2968,880,332,548,2088,1785,303
2021,"Greenwich 019","E02000331",3860,1078,377,701,2782,2383,399
2021,"Greenwich 020","E02000332",3697,1007,363,644,2690,2259,431
2021,"Greenwich 021","E02000333",3319,741,283,458,2578,1948,630
2021,"Greenwich 022","E02000334",3183,880,321,559,2303,1941,362
2021,"Greenwich 023","E02000335",3300,901,303,598,2399,2013,386
2021,"Greenwich 025","E02000337",3851,1149,373,776,2702,2321,381
2021,"Greenwich 027","E02000339",2975,874,324,550,2101,1686,415
2021,"Greenwich 028","E02000340",3348,893,338,555,2455,2024,431
2021,"Greenwich 029","E02000341",3430,1081,394,687,2349,2026,323
2021,"Greenwich 030","E02000342",2895,863,348,515,2032,1744,288
2021,"Greenwich 031","E02000343",3210,885,304,581,2325,1980,345
2021,"Greenwich 032","E02000344",3100,821,282,539,2279,1923,356
2021,"Hackney 001","E02000345",3221,2005,500,1505,1216,994,222
2021,"Hackney 002","E02000346",4542,1231,466,765,3311,2731,580
2021,"Hackney 003","E02000347",3224,1737,475,1262,1487,1254,233
2021,"Hackney 004","E02000348",2975,1723,447,1276,1252,1052,200
2021,"Hackney 006","E02000350",5465,1833,637,1196,3632,3040,592
2021,"Hackney 007","E02000351",5557,1247,513,734,4310,3521,789
2021,"Hackney 008","E02000352",3425,1024,348,676,2401,1961,440
2021,"Hackney 009","E02000353",4514,1177,450,727,3337,2623,714
2021,"Hackney 010","E02000354",4944,1499,554,945,3445,2795,650
2021,"Hackney 011","E02000355",4499,1223,487,736,3276,2722,554
2021,"Hackney 012","E02000356",4280,1023,363,660,3257,2606,651
2021,"Hackney 013","E02000357",2886,1044,404,640,1842,1584,258
2021,"Hackney 014","E02000358",6330,1684,640,1044,4646,3802,844
2021,"Hackney 015","E02000359",3380,999,371,628,2381,1946,435
2021,"Hackney 016","E02000360",5488,1695,620,1075,3793,3162,631
2021,"Hackney 017","E02000361",4822,1264,483,781,3558,2917,641
2021,"Hackney 018","E02000362",3538,1023,414,609,2515,2113,402
2021,"Hackney 019","E02000363",5108,1719,594,1125,3389,2897,492
2021,"Hackney 020","E02000364",5163,1315,494,821,3848,2983,865
2021,"Hackney 022","E02000366",4067,1191,452,739,2876,2333,543
2021,"Hackney 023","E02000367",6388,1426,529,897,4962,3952,1010
2021,"Hackney 024","E02000368",4814,1329,474,855,3485,2889,596
2021,"Hackney 025","E02000369",7584,1812,691,1121,5772,4532,1240
2021,"Hackney 026","E02000370",4810,1142,399,743,3668,2714,954
2021,"Hammersmith and Fulham 001","E02000372",4614,1248,486,762,3366,2820,546
2021,"Hammersmith and Fulham 002","E02000373",2941,1066,385,681,1875,1634,241
2021,"Hammersmith and Fulham 003","E02000374",3340,889,352,537,2451,1972,479
2021,"Hammersmith and Fulham 004","E02000375",3924,1046,431,615,2878,2213,665
2021,"Hammersmith and Fulham 005","E02000376",3899,829,312,517,3070,2478,592
2021,"Hammersmith and Fulham 006","E02000377",4170,1128,464,664,3042,2379,663
2021,"Hammersmith and Fulham 007","E02000378",3732,793,318,475,2939,2248,691
2021,"Hammersmith and Fulham 008","E02000379",3764,959,415,544,2805,2119,686
2021,"Hammersmith and Fulham 009","E02000380",3029,687,300,387,2342,1699,643
2021,"Hammersmith and Fulham 010","E02000381",4129,916,381,535,3213,2344,869
2021,"Hammersmith and Fulham 011","E02000382",3324,798,347,451,2526,1907,619
2021,"Hammersmith and Fulham 012","E02000383",4553,1091,463,628,3462,2717,745
2021,"Hammersmith and Fulham 013","E02000384",4328,1074,424,650,3254,2600,654
2021,"Hammersmith and Fulham 014","E02000385",3577,642,300,342,2935,2248,687
2021,"Hammersmith and Fulham 015","E02000386",3829,1030,445,585,2799,2230,569
2021,"Hammersmith and Fulham 016","E02000387",3218,765,329,436,2453,2010,443
2021,"Hammersmith and Fulham 017","E02000388",5026,939,406,533,4087,2928,1159
2021,"Hammersmith and Fulham 018","E02000389",4693,984,452,532,3709,2684,1025
2021,"Hammersmith and Fulham 019","E02000390",3530,766,326,440,2764,1981,783
2021,"Hammersmith and Fulham 020","E02000391",4066,841,372,469,3225,2070,1155
2021,"Hammersmith and Fulham 021","E02000392",5157,994,436,558,4163,2869,1294
2021,"Hammersmith and Fulham 022","E02000393",3506,613,285,328,2893,1989,904
2021,"Hammersmith and Fulham 023","E02000394",5065,1076,441,635,3989,2917,1072
2021,"Hammersmith and Fulham 024","E02000395",3182,644,291,353,2538,1709,829
2021,"Hammersmith and Fulham 025","E02000396",3499,785,333,452,2714,1843,871
2021,"Haringey 001","E02000397",4180,1449,576,873,2731,2317,414
2021,"Haringey 002","E02000398",2986,1215,394,821,1771,1522,249
2021,"Haringey 004","E02000400",3900,1287,508,779,2613,2134,479
2021,"Haringey 005","E02000401",2924,1099,362,737,1825,1607,218
2021,"Haringey 006","E02000402",2757,1089,345,744,1668,1492,176
