"date","geography","geography code","Number of disabled people in household: Total: All households","Number of disabled people in household: No people disabled under the Equality Act in household","Number of disabled people in household: 1 person disabled under the Equality Act in household","Number of disabled people in household: 2 or more people disabled under the Equality Act in household"
2021,"Havering 017","E02000480",5012,3686,1026,300
2021,"Havering 018","E02000481",3246,2230,799,217
2021,"Havering 019","E02000482",2577,1923,532,122
2021,"Havering 020","E02000483",3473,2440,857,176
2021,"Havering 021","E02000484",3253,2316,748,189
2021,"Havering 022","E02000485",3455,2547,728,180
2021,"Havering 023","E02000486",2990,2129,689,172
2021,"Havering 024","E02000487",2944,2155,623,166
2021,"Havering 025","E02000488",3012,2252,614,146
2021,"Havering 026","E02000489",3261,2265,772,224
2021,"Havering 027","E02000490",3225,2223,801,201
2021,"Havering 028","E02000491",3935,2716,927,292
2021,"Havering 029","E02000492",2622,1826,607,189
2021,"Havering 030","E02000493",2497,1735,593,169
2021,"Hillingdon 001","E02000494",3217,2365,710,142
2021,"Hillingdon 002","E02000495",4306,3194,886,226
2021,"Hillingdon 003","E02000496",3175,2237,690,248
2021,"Hillingdon 004","E02000497",3693,2606,857,230
2021,"Hillingdon 005","E02000498",2638,1858,625,155
2021,"Hillingdon 006","E02000499",3013,2178,644,191
2021,"Hillingdon 007","E02000500",3306,2457,699,150
2021,"Hillingdon 008","E02000501",3273,2430,685,158
2021,"Hillingdon 009","E02000502",3530,2669,716,145
2021,"Hillingdon 010","E02000503",3253,2447,647,159
2021,"Hillingdon 011","E02000504",2922,2226,556,140
2021,"Hillingdon 013","E02000506",2899,2117,640,142
2021,"Hillingdon 014","E02000507",2780,1981,632,167
2021,"Hillingdon 015","E02000508",4339,3257,907,175
2021,"Hillingdon 016","E02000509",3400,2420,806,174
2021,"Hillingdon 017","E02000510",3261,2326,739,196
2021,"Hillingdon 018","E02000511",3262,2353,709,200
2021,"Hillingdon 019","E02000512",3105,2108,773,224
2021,"Hillingdon 020","E02000513",3323,2400,728,195
2021,"Hillingdon 021","E02000514",3180,2355,604,221
2021,"Hillingdon 022","E02000515",5345,3920,1147,278
2021,"Hillingdon 023","E02000516",2818,2021,602,195
2021,"Hillingdon 024","E02000517",3321,2270,800,251
2021,"Hillingdon 025","E02000518",3330,2265,795,270
2021,"Hillingdon 026","E02000519",3024,1926,844,254
2021,"Hillingdon 027","E02000520",4456,3217,979,260
2021,"Hillingdon 028","E02000521",4351,3124,917,310
2021,"Hillingdon 029","E02000522",3488,2476,785,227
2021,"Hillingdon 030","E02000523",3683,2809,689,185
2021,"Hillingdon 031","E02000524",2638,1952,550,136
2021,"Hillingdon 032","E02000525",3318,2469,662,187
2021,"Hounslow 001","E02000526",3617,2942,560,115
2021,"Hounslow 004","E02000529",3036,2161,667,208
2021,"Hounslow 005","E02000530",2517,1726,602,189
2021,"Hounslow 006","E02000531",4936,3689,1023,224
2021,"Hounslow 007","E02000532",3818,2900,776,142
