"date","geography","geography code","Tenure of household: Total: All households","Tenure of household: Owned","Tenure of household: Owned: Owns outright","Tenure of household: Owned: Owns with a mortgage or loan","Tenure of household: Shared ownership","Tenure of household: Shared ownership: Shared ownership","Tenure of household: Social rented","Tenure of household: Social rented: Rents from council or Local Authority","Tenure of household: Social rented: Other social rented","Tenure of household: Private rented","Tenure of household: Private rented: Private landlord or letting agency","Tenure of household: Private rented: Other private rented","Tenure of household: Lives rent free"
2021,"Greenwich 008","E02000320",2556,1213,565,648,9,9,658,546,112,668,617,51,8
2021,"Greenwich 009","E02000321",2964,780,286,494,32,32,1494,1249,245,648,606,42,10
2021,"Greenwich 011","E02000323",4820,1258,439,819,164,164,1927,1248,679,1464,1378,86,7
2021,"Greenwich 012","E02000324",2855,885,362,523,25,25,1436,780,656,497,448,49,12
2021,"Greenwich 014","E02000326",3049,1489,584,905,33,33,832,281,551,694,591,103,1
2021,"Greenwich 015","E02000327",2635,653,151,502,41,41,1207,944,263,726,534,192,8
2021,"Greenwich 016","E02000328",2946,1439,603,836,87,87,741,509,232,675,638,37,4
2021,"Greenwich 017","E02000329",2464,1373,644,729,14,14,587,334,253,484,429,55,6
2021,"Greenwich 019","E02000331",3191,1299,478,821,31,31,1133,830,303,723,671,52,5
2021,"Greenwich 020","E02000332",2999,1813,852,961,19,19,530,288,242,628,590,38,9
2021,"Greenwich 021","E02000333",2884,1471,707,764,6,6,483,314,169,920,858,62,4
2021,"Greenwich 022","E02000334",2543,1473,587,886,10,10,669,597,72,389,363,26,2
2021,"Greenwich 023","E02000335",2591,1954,914,1040,12,12,354,162,192,269,234,35,2
2021,"Greenwich 025","E02000337",3084,1390,531,859,76,76,1230,1002,228,383,339,44,5
2021,"Greenwich 027","E02000339",2590,1658,836,822,26,26,519,281,238,382,345,37,5
2021,"Greenwich 028","E02000340",3019,1866,986,880,33,33,469,368,101,647,584,63,4
2021,"Greenwich 029","E02000341",2941,1201,464,737,13,13,1383,1225,158,328,286,42,16
2021,"Greenwich 030","E02000342",2340,1188,481,707,60,60,704,495,209,384,350,34,4
2021,"Greenwich 031","E02000343",2696,1537,701,836,8,8,837,726,111,309,275,34,5
