"date","geography","geography code","Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census","Occupation (current): 1. Managers, directors and senior officials","Occupation (current): 2. Professional occupations","Occupation (current): 3. Associate professional and technical occupations","Occupation (current): 4. Administrative and secretarial occupations","Occupation (current): 5. Skilled trades occupations","Occupation (current): 6. Caring, leisure and other service occupations","Occupation (current): 7. Sales and customer service occupations","Occupation (current): 8. Process, plant and machine operatives","Occupation (current): 9. Elementary occupations"
2021,"Enfield 028","E02000304",3871,772,1238,572,341,275,236,164,92,181
2021,"Enfield 029","E02000305",4679,788,1207,670,384,444,274,269,205,438
2021,"Enfield 030","E02000306",3293,222,483,323,254,351,481,333,293,553
2021,"Enfield 031","E02000307",4465,447,716,484,469,521,452,365,380,631
2021,"Enfield 032","E02000308",4355,540,969,626,419,437,326,286,238,514
2021,"Enfield 033","E02000309",4725,371,655,402,414,552,570,459,476,826
2021,"Enfield 035","E02000311",4733,482,846,562,412,606,433,379,353,660
2021,"Enfield 036","E02000312",5901,772,1376,826,499,658,481,328,291,670
2021,"Greenwich 001","E02000313",2803,186,399,278,222,235,439,247,295,502
2021,"Greenwich 002","E02000314",6053,552,1211,715,499,487,819,479,425,866
2021,"Greenwich 003","E02000315",4175,363,680,396,317,439,604,373,360,643
2021,"Greenwich 005","E02000317",3274,281,624,427,208,270,458,297,219,490
2021,"Greenwich 006","E02000318",4971,392,676,449,365,521,622,486,363,1097
2021,"Greenwich 007","E02000319",5120,507,908,665,407,454,598,426,350,805
2021,"Greenwich 008","E02000320",3281,274,616,378,298,337,381,250,259,488
2021,"Greenwich 009","E02000321",3460,277,508,439,253,297,529,269,271,617
2021,"Greenwich 011","E02000323",6131,560,1289,790,381,502,748,497,380,984
2021,"Greenwich 012","E02000324",3499,363,750,456,280,311,361,292,205,481
2021,"Greenwich 014","E02000326",4342,673,1228,749,340,280,312,245,172,343
2021,"Greenwich 015","E02000327",3044,292,623,611,228,225,350,212,153,350
2021,"Greenwich 016","E02000328",3486,651,1213,670,226,149,195,122,76,184
2021,"Greenwich 017","E02000329",2968,342,576,424,279,301,296,221,177,352
2021,"Greenwich 019","E02000331",3861,453,911,532,327,339,409,274,216,400
2021,"Greenwich 020","E02000332",3697,533,938,589,342,302,297,197,201,298
2021,"Greenwich 021","E02000333",3318,677,1144,638,246,134,146,139,35,159
2021,"Greenwich 022","E02000334",3186,454,844,428,276,242,299,192,145,306
2021,"Greenwich 023","E02000335",3299,543,818,489,408,268,228,172,169,204
2021,"Greenwich 025","E02000337",3852,430,680,486,368,459,397,269,274,489
2021,"Greenwich 027","E02000339",2976,499,802,496,299,228,216,144,130,162
2021,"Greenwich 028","E02000340",3350,531,803,501,387,293,250,174,143,268
2021,"Greenwich 029","E02000341",3431,384,567,366,337,378,447,267,267,418
2021,"Greenwich 030","E02000342",2896,385,629,404,321,293,268,190,142,264
2021,"Greenwich 031","E02000343",3206,441,678,380,345,365,281,214,185,317
2021,"Greenwich 032","E02000344",3100,467,698,445,400,312,281,158,149,190
2021,"Hackney 001","E02000345",3224,464,772,319,633,151,283,196,117,289
2021,"Hackney 002","E02000346",4542,561,1424,818,287,240,370,248,180,414
2021,"Hackney 003","E02000347",3221,433,885,439,405,145,332,150,134,298
2021,"Hackney 004","E02000348",2975,324,718,330,463,154,350,212,128,296
2021,"Hackney 006","E02000350",5465,733,1673,1116,472,281,362,282,186,360
2021,"Hackney 007","E02000351",5558,820,2048,1164,296,257,275,266,132,300
2021,"Hackney 008","E02000352",3425,531,1077,730,238,193,225,135,106,190
2021,"Hackney 009","E02000353",4515,730,1481,1057,269,236,224,189,107,222
2021,"Hackney 010","E02000354",4941,615,1280,1117,317,281,408,274,217,432
2021,"Hackney 011","E02000355",4499,655,1279,1136,245,214,284,220,157,309
2021,"Hackney 012","E02000356",4281,712,1510,1035,233,172,188,180,61,190
