"date","geography","geography code","Second address type: Total: All usual residents","Second address type: Armed forces base address","Second address type: Another address when working away from home","Second address type: Holiday home","Second address type: Student's term-time address","Second address type: Student's home address","Second address type: Another parent or guardian's address","Second address type: Partner's address","Second address type: Other","Second address type: Second address type not specified"
2021,"Ealing 022","E02000259",345,0,22,57,0,4,119,40,103,0
2021,"Ealing 023","E02000260",279,1,21,50,0,8,58,27,114,0
2021,"Ealing 024","E02000261",895,1,74,135,0,45,262,108,270,0
2021,"Ealing 025","E02000262",578,2,25,108,0,40,171,66,166,0
2021,"Ealing 026","E02000263",425,1,33,65,4,10,91,53,168,0
2021,"Ealing 027","E02000264",797,1,57,140,4,62,261,86,186,0
2021,"Ealing 028","E02000265",525,3,30,71,3,33,196,61,128,0
2021,"Ealing 029","E02000266",420,3,26,35,5,27,116,57,151,0
2021,"Ealing 030","E02000267",371,0,20,46,2,28,110,40,125,0
2021,"Ealing 031","E02000268",710,3,40,187,6,63,183,73,155,0
2021,"Ealing 032","E02000269",523,3,24,144,3,37,137,54,121,0
2021,"Ealing 033","E02000270",539,5,42,52,1,23,168,69,179,0
2021,"Ealing 034","E02000271",708,0,45,297,0,24,138,61,143,0
2021,"Ealing 035","E02000272",347,2,22,74,2,24,96,29,98,0
2021,"Ealing 038","E02000275",268,1,19,35,4,5,60,33,111,0
2021,"Ealing 039","E02000276",412,1,24,85,1,44,139,31,87,0
2021,"Enfield 001","E02000277",193,1,17,16,3,24,52,36,44,0
2021,"Enfield 002","E02000278",236,0,16,45,0,10,75,23,67,0
2021,"Enfield 003","E02000279",329,2,30,34,1,13,95,45,109,0
2021,"Enfield 004","E02000280",306,4,23,63,2,6,92,37,79,0
2021,"Enfield 005","E02000281",283,0,27,41,1,9,89,36,80,0
2021,"Enfield 006","E02000282",224,1,19,30,1,8,68,34,63,0
2021,"Enfield 007","E02000283",222,0,22,46,2,11,63,25,53,0
2021,"Enfield 008","E02000284",308,0,22,64,0,3,97,34,88,0
2021,"Enfield 009","E02000285",242,0,22,49,0,8,56,22,85,0
2021,"Enfield 010","E02000286",367,0,23,110,0,7,88,40,99,0
2021,"Enfield 011","E02000287",435,1,34,137,5,2,98,40,118,0
2021,"Enfield 012","E02000288",324,0,32,45,0,12,67,60,108,0
2021,"Enfield 013","E02000289",259,2,30,69,6,1,69,22,60,0
2021,"Enfield 014","E02000290",173,1,13,12,0,7,69,19,52,0
2021,"Enfield 015","E02000291",418,0,19,106,0,4,113,51,125,0
2021,"Enfield 016","E02000292",262,1,18,34,2,9,82,44,72,0
2021,"Enfield 017","E02000293",278,0,19,117,3,5,43,15,76,0
2021,"Enfield 018","E02000294",238,0,31,36,1,5,48,28,89,0
2021,"Enfield 019","E02000295",358,0,41,87,4,7,93,38,88,0
2021,"Enfield 020","E02000296",488,0,31,93,1,17,114,50,182,0
2021,"Enfield 021","E02000297",324,0,27,84,0,10,76,37,90,0
2021,"Enfield 022","E02000298",415,0,49,159,12,6,61,34,94,0
2021,"Enfield 023","E02000299",255,0,18,42,1,25,46,35,88,0
2021,"Enfield 024","E02000300",243,0,22,42,2,5,48,33,91,0
2021,"Enfield 025","E02000301",270,3,16,52,0,13,50,36,100,0
2021,"Enfield 026","E02000302",328,0,26,67,2,6,74,51,102,0
2021,"Enfield 027","E02000303",265,1,24,26,3,13,60,31,107,0
2021,"Enfield 028","E02000304",412,1,40,142,2,5,94,29,99,0
2021,"Enfield 029","E02000305",377,1,35,73,1,10,105,50,102,0
2021,"Enfield 030","E02000306",246,0,24,26,5,8,68,29,86,0
2021,"Enfield 031","E02000307",327,0,28,94,9,38,52,28,78,0
2021,"Enfield 032","E02000308",431,1,25,62,0,34,116,79,114,0
2021,"Enfield 033","E02000309",348,3,19,44,3,21,98,40,120,0
2021,"Enfield 035","E02000311",374,0,29,44,3,9,89,41,159,0
2021,"Enfield 036","E02000312",492,1,29,97,4,9,141,72,139,0
2021,"Greenwich 001","E02000313",240,0,26,26,2,11,60,30,85,0
2021,"Greenwich 002","E02000314",565,2,42,52,2,22,171,66,208,0
2021,"Greenwich 003","E02000315",318,1,33,32,2,31,95,46,78,0
2021,"Greenwich 005","E02000317",278,0,18,24,1,8,70,37,120,0
2021,"Greenwich 006","E02000318",387,3,21,37,2,26,81,53,164,0
2021,"Greenwich 007","E02000319",394,1,31,32,3,18,124,50,135,0
