"date","geography","geography code","Household language (English and Welsh): Total: All households","Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language"
2021,"Haringey 030","E02000426",2744,2247,253,54,190
2021,"Haringey 031","E02000427",2869,1822,350,62,635
2021,"Haringey 032","E02000428",2922,1666,528,137,591
2021,"Haringey 033","E02000429",3201,2634,263,59,245
2021,"Haringey 034","E02000430",3250,2664,282,48,256
2021,"Haringey 035","E02000431",2845,2301,256,30,258
2021,"Haringey 036","E02000432",2799,2220,239,40,300
2021,"Harrow 001","E02000433",3545,2732,330,94,389
2021,"Harrow 002","E02000434",3638,2560,444,124,510
2021,"Harrow 003","E02000435",2813,1968,376,104,365
2021,"Harrow 004","E02000436",2044,1640,201,45,158
2021,"Harrow 005","E02000437",3089,2135,386,131,437
2021,"Harrow 006","E02000438",3044,2206,332,153,353
2021,"Harrow 007","E02000439",2949,1545,529,194,681
2021,"Harrow 008","E02000440",3052,2034,461,109,448
2021,"Harrow 009","E02000441",2794,2098,315,89,292
2021,"Harrow 010","E02000442",2667,1136,639,182,710
2021,"Harrow 011","E02000443",3546,2051,544,213,738
2021,"Harrow 012","E02000444",2670,1349,495,182,644
2021,"Harrow 013","E02000445",3820,2177,562,236,845
2021,"Harrow 015","E02000447",2744,1854,370,129,391
2021,"Harrow 016","E02000448",2759,2265,218,79,197
2021,"Harrow 017","E02000449",2527,1162,546,132,687
2021,"Harrow 019","E02000451",2329,1676,306,73,274
2021,"Harrow 020","E02000452",3452,1952,473,217,810
2021,"Harrow 021","E02000453",3045,1925,410,154,556
2021,"Harrow 022","E02000454",2524,1988,261,96,179
2021,"Harrow 023","E02000455",4760,2892,506,223,1139
2021,"Harrow 024","E02000456",2717,1749,416,102,450
2021,"Harrow 025","E02000457",2563,1686,344,128,405
2021,"Harrow 027","E02000459",3418,1938,504,217,759
2021,"Harrow 028","E02000460",2414,1403,419,151,441
2021,"Harrow 029","E02000461",2559,1818,260,97,384
2021,"Harrow 030","E02000462",2286,1216,404,155,511
2021,"Harrow 031","E02000463",2834,1659,513,182,480
2021,"Havering 001","E02000464",2873,2534,142,65,132
2021,"Havering 002","E02000465",3492,2979,177,140,196
2021,"Havering 003","E02000466",3291,2978,132,63,118
2021,"Havering 004","E02000467",4289,3676,236,120,257
2021,"Havering 005","E02000468",3167,2793,157,89,128
2021,"Havering 006","E02000469",2699,2270,160,82,187
2021,"Havering 007","E02000470",4131,3722,177,65,167
2021,"Havering 008","E02000471",2942,2698,125,40,79
2021,"Havering 009","E02000472",3527,3123,181,61,162
2021,"Havering 010","E02000473",4021,3656,155,57,153
2021,"Havering 011","E02000474",3532,3061,195,86,190
2021,"Havering 012","E02000475",3958,3592,174,53,139
2021,"Havering 013","E02000476",4198,3342,245,132,479
2021,"Havering 014","E02000477",3715,3443,134,37,101
