"date","geography","geography code","Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census","Unemployment history: Not in employment: Worked in the last 12 months","Unemployment history: Not in employment: Not worked in the last 12 months","Unemployment history: Not in employment: Never worked"
2021,"Hillingdon 017","E02000510",2931,446,1565,920
2021,"Hillingdon 018","E02000511",3106,441,1476,1189
2021,"Hillingdon 019","E02000512",2904,416,1318,1170
2021,"Hillingdon 020","E02000513",3202,486,1252,1464
2021,"Hillingdon 021","E02000514",3667,578,1372,1717
2021,"Hillingdon 022","E02000515",4060,713,1876,1471
2021,"Hillingdon 023","E02000516",2878,441,1188,1249
2021,"Hillingdon 024","E02000517",3445,473,1383,1589
2021,"Hillingdon 025","E02000518",3148,476,1389,1283
2021,"Hillingdon 026","E02000519",3422,449,1383,1590
2021,"Hillingdon 027","E02000520",4648,782,1703,2163
2021,"Hillingdon 028","E02000521",3949,651,1611,1687
2021,"Hillingdon 029","E02000522",2958,512,1358,1088
2021,"Hillingdon 030","E02000523",3637,683,1342,1612
2021,"Hillingdon 031","E02000524",2294,441,1084,769
2021,"Hillingdon 032","E02000525",3137,615,1209,1313
