"date","geography","geography code","Type of central heating in household: Total: All households","Type of central heating in household: No central heating","Type of central heating in household: Mains gas only","Type of central heating in household: Tank or bottled gas only","Type of central heating in household: Electric only","Type of central heating in household: Oil only","Type of central heating in household: Wood only","Type of central heating in household: Solid fuel only","Type of central heating in household: Renewable energy only","Type of central heating in household: District or communal heat networks only","Type of central heating in household: Other central heating only","Type of central heating in household: Two or more types of central heating (not including renewable energy)","Type of central heating in household: Two or more types of central heating (including renewable energy)"
2021,"Enfield 035","E02000311",3636,64,2568,10,614,1,0,0,4,13,54,301,7
2021,"Enfield 036","E02000312",4497,98,3458,19,451,3,0,0,9,26,73,350,10
2021,"Greenwich 001","E02000313",2596,80,1806,33,229,3,0,0,3,30,76,327,9
2021,"Greenwich 002","E02000314",4537,110,2913,59,744,4,0,0,11,70,119,493,14
2021,"Greenwich 003","E02000315",3489,78,2545,60,309,10,0,0,3,25,86,365,8
2021,"Greenwich 005","E02000317",2823,78,1953,23,304,2,0,0,2,66,79,309,7
2021,"Greenwich 006","E02000318",3581,103,2592,20,347,6,0,0,0,38,94,375,6
2021,"Greenwich 007","E02000319",3920,90,2743,24,453,4,2,0,7,104,99,374,20
2021,"Greenwich 008","E02000320",2555,59,2052,7,110,0,0,1,0,15,38,270,3
2021,"Greenwich 009","E02000321",2957,73,1970,40,316,0,0,0,5,144,88,311,10
2021,"Greenwich 011","E02000323",4822,120,2954,37,670,2,4,0,11,354,118,530,22
2021,"Greenwich 012","E02000324",2854,55,2103,19,220,1,0,0,3,84,69,286,14
2021,"Greenwich 014","E02000326",3050,83,2381,18,237,1,1,0,3,21,35,261,9
2021,"Greenwich 015","E02000327",2637,63,1471,27,378,2,0,0,11,306,59,311,9
2021,"Greenwich 016","E02000328",2946,49,2157,5,253,5,0,0,5,182,33,248,9
2021,"Greenwich 017","E02000329",2461,58,1936,15,171,1,0,0,1,21,36,215,7
2021,"Greenwich 019","E02000331",3190,54,2357,19,323,0,0,0,4,59,63,301,10
2021,"Greenwich 020","E02000332",2998,51,2354,20,203,1,0,1,0,26,39,296,7
2021,"Greenwich 021","E02000333",2884,67,2271,13,190,3,0,0,4,55,28,247,6
2021,"Greenwich 022","E02000334",2541,52,2064,14,107,0,0,0,5,35,30,230,4
2021,"Greenwich 023","E02000335",2594,34,2207,8,95,1,0,2,3,36,17,185,6
2021,"Greenwich 025","E02000337",3084,43,2416,12,165,1,0,1,1,89,47,294,15
2021,"Greenwich 027","E02000339",2592,54,2132,5,149,2,1,0,1,24,24,193,7
2021,"Greenwich 028","E02000340",3020,62,2300,12,325,3,0,1,14,49,32,208,14
2021,"Greenwich 029","E02000341",2939,45,2357,13,136,0,0,1,2,15,43,321,6
2021,"Greenwich 030","E02000342",2343,31,1844,15,188,0,0,0,4,38,30,180,13
2021,"Greenwich 031","E02000343",2695,35,2228,11,121,1,0,0,4,12,34,243,6
2021,"Greenwich 032","E02000344",2448,23,2074,5,93,0,0,0,2,21,14,208,8
2021,"Hackney 001","E02000345",2589,74,1856,16,318,7,1,0,2,40,69,203,3
2021,"Hackney 002","E02000346",3972,105,1641,24,988,4,0,0,33,610,168,374,25
2021,"Hackney 003","E02000347",2581,77,1837,16,326,9,0,1,1,57,62,187,8
2021,"Hackney 004","E02000348",2722,76,2009,26,234,0,0,2,6,32,87,248,2
2021,"Hackney 006","E02000350",3694,74,2919,20,326,3,0,0,2,10,57,274,9
2021,"Hackney 007","E02000351",4231,101,2945,22,547,1,0,0,22,193,81,300,19
2021,"Hackney 008","E02000352",2683,63,2061,14,257,0,0,0,2,23,38,215,10
2021,"Hackney 009","E02000353",3156,77,2478,16,262,5,0,0,3,16,46,236,17
2021,"Hackney 010","E02000354",3988,89,2928,40,379,2,0,0,9,69,78,381,13
2021,"Hackney 011","E02000355",3112,93,2410,9,244,3,0,2,0,16,39,287,9
2021,"Hackney 012","E02000356",3058,54,2387,20,263,0,0,0,3,24,37,250,20
2021,"Hackney 013","E02000357",2721,76,1759,26,289,0,2,0,1,141,106,313,8
2021,"Hackney 014","E02000358",4815,110,3426,29,537,3,2,0,15,115,115,443,20
2021,"Hackney 015","E02000359",2438,60,1922,7,164,0,0,0,3,23,39,210,10
2021,"Hackney 016","E02000360",4851,130,3186,45,636,6,1,0,18,135,139,541,14
2021,"Hackney 017","E02000361",3677,123,2508,17,518,1,2,0,13,94,81,308,12
2021,"Hackney 018","E02000362",2804,63,1853,27,328,2,1,0,8,165,55,285,17
2021,"Hackney 019","E02000363",4441,94,2885,44,563,1,0,1,8,222,126,476,21
2021,"Hackney 020","E02000364",4096,93,2790,18,567,2,1,0,6,126,80,387,26
2021,"Hackney 022","E02000366",3539,81,2689,24,272,0,0,0,7,44,83,331,8
2021,"Hackney 023","E02000367",4596,143,2937,26,781,4,2,3,10,162,94,411,23
2021,"Hackney 024","E02000368",4156,126,2491,30,552,8,1,1,12,358,129,434,14
2021,"Hackney 025","E02000369",5928,194,3045,63,1478,10,1,3,19,440,148,488,39
2021,"Hackney 026","E02000370",3990,156,1994,29,908,10,0,2,20,389,118,352,12
2021,"Hammersmith and Fulham 001","E02000372",3873,99,2359,22,646,7,3,0,15,196,122,382,22
2021,"Hammersmith and Fulham 002","E02000373",2537,60,1835,21,156,2,0,1,4,100,84,269,5
2021,"Hammersmith and Fulham 003","E02000374",2617,42,1935,17,241,1,0,1,5,79,60,232,4
2021,"Hammersmith and Fulham 004","E02000375",3497,82,2261,28,596,1,0,0,9,98,91,324,7
2021,"Hammersmith and Fulham 005","E02000376",3183,81,2343,17,325,11,0,0,5,46,72,269,14
2021,"Hammersmith and Fulham 006","E02000377",3444,106,2516,28,327,2,0,0,10,80,54,309,12
2021,"Hammersmith and Fulham 007","E02000378",3251,105,2328,19,296,8,0,0,4,131,63,281,16
2021,"Hammersmith and Fulham 008","E02000379",3104,64,1975,20,447,7,1,0,7,240,53,269,21
2021,"Hammersmith and Fulham 009","E02000380",2496,32,1960,18,169,3,2,0,6,38,45,218,5
2021,"Hammersmith and Fulham 010","E02000381",3543,120,2643,18,340,7,0,0,4,55,52,290,14
2021,"Hammersmith and Fulham 011","E02000382",2772,83,1851,19,395,41,0,2,1,99,60,214,7
2021,"Hammersmith and Fulham 012","E02000383",4112,120,2609,31,387,14,0,0,5,442,131,360,13
2021,"Hammersmith and Fulham 013","E02000384",3809,96,2516,27,540,9,1,0,11,156,89,346,18
2021,"Hammersmith and Fulham 014","E02000385",2847,69,2128,16,279,2,0,0,3,58,45,243,4
